,DS_CARGO,NM_CANDIDATO,NM_SOCIAL_CANDIDATO,NM_PARTIDO,DS_GENERO,DS_COR_RACA,NR_IDADE_DATA_POSSE,DS_GRAU_INSTRUCAO,NM_UE
4811,VEREADOR,WALLACE MAIA PINTO,#NULO#,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,MASCULINO,PARDA,44,ENSINO FUNDAMENTAL COMPLETO,MAGÉ
4812,VEREADOR,ANTÔNIO RICARDO DE FREITAS,#NULO#,SOLIDARIEDADE,MASCULINO,BRANCA,65,SUPERIOR COMPLETO,DUQUE DE CAXIAS
4813,VEREADOR,JOCILEA DOS SANTOS RIBEIRO,#NULO#,PARTIDO POPULAR SOCIALISTA,FEMININO,BRANCA,71,ENSINO MÉDIO COMPLETO,CAMPOS DOS GOYTACAZES
4814,VEREADOR,MANOEL MESSIAS SOBRINHO,#NULO#,PARTIDO PÁTRIA LIVRE,MASCULINO,BRANCA,60,ENSINO MÉDIO INCOMPLETO,SÃO JOÃO DE MERITI
4815,VEREADOR,FRED BRITO OLIVEIRA,#NULO#,PARTIDO SOCIAL DEMOCRATA CRISTÃO,MASCULINO,PRETA,46,ENSINO FUNDAMENTAL COMPLETO,RIO DE JANEIRO
4816,VEREADOR,LUCINEA TEIXEIRA BARRIAS,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,FEMININO,BRANCA,46,ENSINO MÉDIO INCOMPLETO,DUAS BARRAS
4817,VEREADOR,SIDNEI MATTOS FILHO,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MASCULINO,PARDA,27,ENSINO MÉDIO COMPLETO,RIO DAS OSTRAS
4818,VEREADOR,MAER LUIZ DA SILVA LOBIANCO,#NULO#,PARTIDO DA MOBILIZAÇÃO NACIONAL,MASCULINO,BRANCA,33,ENSINO MÉDIO COMPLETO,CAMPOS DOS GOYTACAZES
4819,VEREADOR,MARIA DA CRUZ DAMÁSIO,#NULO#,PARTIDO TRABALHISTA BRASILEIRO,FEMININO,PARDA,65,ENSINO MÉDIO COMPLETO,BARRA DO PIRAÍ
4820,VEREADOR,VOLNEI DA SILVA RODRIGUES,#NULO#,PARTIDO DEMOCRÁTICO TRABALHISTA,MASCULINO,BRANCA,61,ENSINO FUNDAMENTAL INCOMPLETO,IGUABA GRANDE
