,DS_CARGO,NM_CANDIDATO,NM_SOCIAL_CANDIDATO,NM_PARTIDO,DS_GENERO,DS_COR_RACA,NR_IDADE_DATA_POSSE,DS_GRAU_INSTRUCAO,NM_UE,VR_DESPESA_MAX_CAMPANHA
8332,VEREADOR,JORGE ANTONIO ALMEIDA SANTOS,#NULO#,PARTIDO TRABALHISTA BRASILEIRO,MASCULINO,NEGRA,44,ENSINO MÉDIO INCOMPLETO,TANGUÁ,0
8333,VEREADOR,JOSIMAR MOREIRA DA ROCHA,#NULO#,PARTIDO COMUNISTA DO BRASIL,MASCULINO,BRANCA,44,ENSINO MÉDIO COMPLETO,NOVA IGUAÇU,-1
8334,VEREADOR,MARIA DA GLÓRIA SOARES,#NULO#,PARTIDO SOCIAL DEMOCRATA CRISTÃO,FEMININO,NEGRA,72,ENSINO FUNDAMENTAL COMPLETO,RIO DE JANEIRO,0
8335,VEREADOR,SERGIO LUIS PEREIRA DE LACERDA,#NULO#,PARTIDO HUMANISTA DA SOLIDARIEDADE,MASCULINO,BRANCA,47,ENSINO FUNDAMENTAL INCOMPLETO,MIGUEL PEREIRA,-1
8336,VEREADOR,ROSELI D ANGELO DE MELLO,#NULO#,PARTIDO HUMANISTA DA SOLIDARIEDADE,FEMININO,BRANCA,47,LÊ E ESCREVE,NOVA FRIBURGO,-1
8337,VEREADOR,UALACE JOSE DE ALMEIDA,#NULO#,PARTIDO COMUNISTA DO BRASIL,MASCULINO,NEGRA,35,SUPERIOR COMPLETO,TRÊS RIOS,-1
8338,VEREADOR,ALBERTO GAMA DOS SANTOS JUNIOR,#NULO#,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,MASCULINO,BRANCA,28,SUPERIOR INCOMPLETO,VASSOURAS,-1
8339,VEREADOR,VICTOR JOSÉ GONÇALVES ADERALDO,#NULO#,PARTIDO TRABALHISTA NACIONAL,MASCULINO,BRANCA,28,SUPERIOR COMPLETO,NOVA IGUAÇU,-1
8340,VEREADOR,ALEXANDRO DUARTE COLI,#NULO#,PARTIDO SOCIAL DEMOCRÁTICO,MASCULINO,BRANCA,45,SUPERIOR COMPLETO,RESENDE,0
8341,VEREADOR,DEBORA ROCHA BREYER,#NULO#,PARTIDO DOS TRABALHADORES,FEMININO,BRANCA,37,ENSINO FUNDAMENTAL INCOMPLETO,MANGARATIBA,-1
8342,VEREADOR,CRISTIANO DE CARVALHO,#NULO#,PARTIDO POPULAR SOCIALISTA,MASCULINO,NEGRA,56,ENSINO MÉDIO COMPLETO,ANGRA DOS REIS,0
8343,VEREADOR,FLAVIO ALVES DE LIMA OLIVEIRA,#NULO#,PARTIDO HUMANISTA DA SOLIDARIEDADE,MASCULINO,NEGRA,41,SUPERIOR COMPLETO,SEROPÉDICA,0
8344,VEREADOR,MARIO MENDES SCHUENK,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MASCULINO,NEGRA,39,ENSINO MÉDIO COMPLETO,QUEIMADOS,-1
8345,VEREADOR,DIONIL MARCELINO,#NULO#,PARTIDO DEMOCRÁTICO TRABALHISTA,MASCULINO,BRANCA,63,ENSINO FUNDAMENTAL INCOMPLETO,DUQUE DE CAXIAS,-1
8346,VEREADOR,SERGIO LUIZ DO AMARAL GOMES,#NULO#,PARTIDO VERDE,MASCULINO,BRANCA,51,ENSINO MÉDIO COMPLETO,ANGRA DOS REIS,0
8347,VEREADOR,PAULO ROBERTO DA SILVA COTTS,#NULO#,PARTIDO TRABALHISTA DO BRASIL,MASCULINO,NEGRA,54,ENSINO MÉDIO COMPLETO,DUQUE DE CAXIAS,-1
8348,VEREADOR,PENHA REGINA GONÇALVES,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,FEMININO,NEGRA,49,SUPERIOR COMPLETO,VOLTA REDONDA,-1
8349,VEREADOR,ADALMIR D AGUILA DE SOUZA,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MASCULINO,NEGRA,38,SUPERIOR COMPLETO,RIO DE JANEIRO,0
8350,VEREADOR,JORGE JOAO SILVA,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,MASCULINO,NEGRA,63,ENSINO MÉDIO COMPLETO,RIO DE JANEIRO,-1
8351,VEREADOR,JORGE SIQUEIRA FARIAS,#NULO#,PARTIDO TRABALHISTA BRASILEIRO,MASCULINO,BRANCA,46,SUPERIOR COMPLETO,NOVA FRIBURGO,-1
8352,VEREADOR,ELIZABETH MEIRA CARDOSO MEDEIROS,#NULO#,PARTIDO DEMOCRÁTICO TRABALHISTA,FEMININO,BRANCA,51,ENSINO MÉDIO COMPLETO,ANGRA DOS REIS,0
